sequence	start_position_windows	nb_GC	nb_ACGT	nb_MRWSYK	nb_N	GCrate	Nrate	MRWSYKrate
Sc0000000	550000	3691	0	10000	0	0.3691	0	0
Sc0000000	560000	3158	0	9999	1	0.315831583158316	0.0001	0
Sc0000000	570000	4157	0	10000	0	0.4157	0	0
Sc0000000	580000	3426	0	10000	0	0.3426	0	0
Sc0000000	590000	3854	0	10000	0	0.3854	0	0
Sc0000000	600000	3774	0	10000	0	0.3774	0	0
Sc0000000	610000	3751	0	10000	0	0.3751	0	0
Sc0000000	620000	3918	0	9781	219	0.400572538595236	0.0219	0
Sc0000000	630000	3777	0	9977	23	0.37857071263907	0.0023	0
Sc0000000	640000	2954	0	10000	0	0.2954	0	0
Sc0000000	650000	2172	0	6069	3931	0.357884330202669	0.3931	0
Sc0000000	660000	3613	0	10000	0	0.3613	0	0
Sc0000000	670000	3617	0	10000	0	0.3617	0	0
Sc0000000	680000	3136	0	10000	0	0.3136	0	0
Sc0000000	690000	3520	0	9999	1	0.352035203520352	0.0001	0
Sc0000000	700000	4079	0	10000	0	0.4079	0	0
Sc0000000	710000	3817	0	10000	0	0.3817	0	0
Sc0000000	720000	3457	0	10000	0	0.3457	0	0
Sc0000000	730000	3815	0	10000	0	0.3815	0	0
Sc0000000	740000	3132	0	10000	0	0.3132	0	0
Sc0000000	750000	3513	0	9858	142	0.356360316494218	0.0142	0
Sc0000000	760000	3902	0	10000	0	0.3902	0	0
Sc0000000	770000	3868	0	10000	0	0.3868	0	0
Sc0000000	780000	4575	0	10000	0	0.4575	0	0
Sc0000000	790000	3678	0	9999	1	0.367836783678368	0.0001	0
Sc0000000	800000	3767	0	8127	1873	0.463516672818998	0.1873	0
Sc0000000	810000	3329	0	7185	2815	0.463326374391093	0.2815	0
Sc0000000	820000	3552	0	7678	2322	0.462620474081792	0.2322	0
Sc0000000	830000	3549	0	7747	2253	0.45811281786498	0.2253	0
Sc0000000	840000	3950	0	8759	1241	0.450964722000228	0.1241	0
Sc0000000	850000	2686	0	5922	4078	0.453562985477879	0.4078	0
Sc0000000	860000	4604	0	10000	0	0.4604	0	0
Sc0000000	870000	3034	0	7092	2908	0.4278059785674	0.2908	0
Sc0000000	880000	4073	0	10000	0	0.4073	0	0
Sc0000000	890000	3914	0	10000	0	0.3914	0	0
Sc0000000	900000	3840	0	10000	0	0.384	0	0
Sc0000000	910000	3849	0	10000	0	0.3849	0	0
Sc0000000	920000	4200	0	9998	2	0.420084016803361	0.0002	0
Sc0000000	930000	4601	0	10000	0	0.4601	0	0
Sc0000000	940000	4562	0	9999	1	0.456245624562456	0.0001	0
Sc0000000	950000	3336	0	8181	1819	0.407774110744408	0.1819	0
Sc0000000	960000	3757	0	10000	0	0.3757	0	0
Sc0000000	970000	3738	0	10000	0	0.3738	0	0
Sc0000000	980000	3665	0	10000	0	0.3665	0	0
Sc0000000	990000	3974	0	10000	0	0.3974	0	0
Sc0000000	1000000	4131	0	10000	0	0.4131	0	0
Sc0000000	1010000	4119	0	10000	0	0.4119	0	0
Sc0000000	1020000	4422	0	10000	0	0.4422	0	0
Sc0000000	1030000	3943	0	10000	0	0.3943	0	0
Sc0000000	1040000	4001	0	10000	0	0.4001	0	0
Sc0000000	1050000	3456	0	10000	0	0.3456	0	0
Sc0000000	1060000	3580	0	10000	0	0.358	0	0
Sc0000000	1070000	3908	0	10000	0	0.3908	0	0
Sc0000000	1080000	3479	0	8970	1030	0.387848383500557	0.103	0
Sc0000000	1090000	3610	0	10000	0	0.361	0	0
Sc0000000	1100000	3404	0	10000	0	0.3404	0	0
Sc0000000	1110000	4094	0	10000	0	0.4094	0	0
Sc0000000	1120000	3499	0	10000	0	0.3499	0	0
Sc0000000	1130000	3644	0	10000	0	0.3644	0	0
Sc0000000	1140000	3535	0	10000	0	0.3535	0	0
Sc0000000	1150000	3633	0	10000	0	0.3633	0	0
Sc0000000	1160000	3457	0	10000	0	0.3457	0	0
Sc0000000	1170000	3669	0	10000	0	0.3669	0	0
Sc0000000	1180000	4021	0	10000	0	0.4021	0	0
Sc0000000	1190000	3772	0	10000	0	0.3772	0	0
Sc0000000	1200000	4263	0	10000	0	0.4263	0	0
Sc0000000	1210000	4050	0	10000	0	0.405	0	0
Sc0000000	1220000	3727	0	10000	0	0.3727	0	0
Sc0000000	1230000	4454	0	10000	0	0.4454	0	0
Sc0000000	1240000	4107	0	10000	0	0.4107	0	0
Sc0000000	1250000	3492	0	10000	0	0.3492	0	0
Sc0000000	1260000	3754	0	10000	0	0.3754	0	0
Sc0000000	1270000	3078	0	8976	1024	0.342914438502674	0.1024	0
Sc0000000	1280000	3418	0	9897	103	0.345357178943114	0.0103	0
Sc0000000	1290000	2906	0	8004	1996	0.363068465767116	0.1996	0
Sc0000000	1300000	4464	0	10000	0	0.4464	0	0
Sc0000000	1310000	3656	0	10000	0	0.3656	0	0
Sc0000000	1320000	3581	0	10000	0	0.3581	0	0
Sc0000000	1330000	3187	0	9877	123	0.322668826566771	0.0123	0
Sc0000000	1340000	4003	0	10000	0	0.4003	0	0
Sc0000000	1350000	3462	0	9999	1	0.346234623462346	0.0001	0
Sc0000000	1360000	3548	0	9699	301	0.365810908341066	0.0301	0
Sc0000000	1370000	3590	0	10000	0	0.359	0	0
Sc0000000	1380000	3799	0	10000	0	0.3799	0	0
Sc0000000	1390000	3412	0	10000	0	0.3412	0	0
Sc0000000	1400000	3580	0	10000	0	0.358	0	0
Sc0000000	1410000	3618	0	9766	234	0.370468973991399	0.0234	0
Sc0000000	1420000	NA	NA	NA	5322	NA	0.5322	NA
Sc0000000	1430000	3939	0	9999	1	0.393939393939394	0.0001	0
Sc0000000	1440000	3910	0	10000	0	0.391	0	0
Sc0000000	1450000	3826	0	10000	0	0.3826	0	0
Sc0000000	1460000	4005	0	10000	0	0.4005	0	0
Sc0000000	1470000	3736	0	10000	0	0.3736	0	0
Sc0000000	1480000	3794	0	10000	0	0.3794	0	0
Sc0000000	1490000	3167	0	8599	1401	0.368298639376672	0.1401	0
Sc0000000	1500000	3956	0	10000	0	0.3956	0	0
Sc0000000	1510000	3888	0	10000	0	0.3888	0	0
Sc0000000	1520000	3427	0	8789	1211	0.389919217203322	0.1211	0
Sc0000000	1530000	2890	0	8728	1272	0.331118240146654	0.1272	0
Sc0000000	1540000	3159	0	8234	1766	0.383653145494292	0.1766	0
Sc0000000	1550000	NA	NA	NA	5993	NA	0.5993	NA
Sc0000000	1560000	3360	0	10000	0	0.336	0	0
Sc0000000	1570000	2979	0	10000	0	0.2979	0	0
Sc0000000	1580000	3554	0	10000	0	0.3554	0	0
Sc0000000	1590000	3622	0	10000	0	0.3622	0	0
Sc0000000	1600000	3569	0	9999	1	0.356935693569357	0.0001	0
Sc0000000	1610000	3442	0	10000	0	0.3442	0	0
Sc0000000	1620000	3439	0	10000	0	0.3439	0	0
Sc0000000	1630000	3714	0	10000	0	0.3714	0	0
Sc0000000	1640000	3631	0	10000	0	0.3631	0	0
Sc0000000	1650000	4076	0	10000	0	0.4076	0	0
Sc0000000	1660000	2820	0	8536	1464	0.330365510777882	0.1464	0
Sc0000000	1670000	2914	0	10000	0	0.2914	0	0
Sc0000000	1680000	3497	0	10000	0	0.3497	0	0
Sc0000000	1690000	3751	0	10000	0	0.3751	0	0
Sc0000000	1700000	3940	0	10000	0	0.394	0	0
Sc0000000	1710000	3352	0	9999	1	0.335233523352335	0.0001	0
Sc0000000	1720000	3857	0	10000	0	0.3857	0	0
Sc0000000	1730000	3653	0	10000	0	0.3653	0	0
Sc0000000	1740000	3507	0	9999	1	0.350735073507351	0.0001	0
Sc0000000	1750000	3842	0	10000	0	0.3842	0	0
Sc0000000	1760000	3227	0	9681	319	0.333333333333333	0.0319	0
Sc0000000	1770000	3439	0	10000	0	0.3439	0	0
Sc0000000	1780000	3719	0	10000	0	0.3719	0	0
Sc0000000	1790000	3667	0	9999	1	0.366736673667367	0.0001	0
Sc0000000	1800000	3100	0	10000	0	0.31	0	0
Sc0000000	1810000	3181	0	10000	0	0.3181	0	0
Sc0000000	1820000	3759	0	9999	1	0.375937593759376	0.0001	0
Sc0000000	1830000	3861	0	10000	0	0.3861	0	0
Sc0000000	1840000	4594	0	10000	0	0.4594	0	0
Sc0000000	1850000	3318	0	9999	1	0.331833183318332	0.0001	0
Sc0000000	1860000	3196	0	10000	0	0.3196	0	0
Sc0000000	1870000	3464	0	10000	0	0.3464	0	0
Sc0000000	1880000	3916	0	10000	0	0.3916	0	0
Sc0000000	1890000	3842	0	10000	0	0.3842	0	0
Sc0000000	1900000	3626	0	10000	0	0.3626	0	0
Sc0000000	1910000	4032	0	10000	0	0.4032	0	0
Sc0000000	1920000	3910	0	10000	0	0.391	0	0
Sc0000000	1930000	3439	0	9148	852	0.375929164844775	0.0852	0
Sc0000000	1940000	3392	0	8332	1668	0.407105136821891	0.1668	0
Sc0000000	1950000	4146	0	10000	0	0.4146	0	0
Sc0000000	1960000	3914	0	10000	0	0.3914	0	0
Sc0000000	1970000	3486	0	10000	0	0.3486	0	0
Sc0000000	1980000	3458	0	10000	0	0.3458	0	0
Sc0000000	1990000	3923	0	10000	0	0.3923	0	0
Sc0000000	2000000	3759	0	10000	0	0.3759	0	0
Sc0000000	2010000	3826	0	9646	354	0.396641094754302	0.0354	0
Sc0000000	2020000	3225	0	10000	0	0.3225	0	0
Sc0000000	2030000	3984	0	10000	0	0.3984	0	0
Sc0000000	2040000	4010	0	10000	0	0.401	0	0
Sc0000000	2050000	3824	0	10000	0	0.3824	0	0
Sc0000000	2060000	3773	0	10000	0	0.3773	0	0
Sc0000000	2070000	3306	0	10000	0	0.3306	0	0
Sc0000000	2080000	3763	0	10000	0	0.3763	0	0
Sc0000000	2090000	2988	0	9731	269	0.307059911622649	0.0269	0
Sc0000000	2100000	4424	0	9928	72	0.445608380338437	0.0072	0
Sc0000000	2110000	3964	0	10000	0	0.3964	0	0
Sc0000000	2120000	3652	0	10000	0	0.3652	0	0
Sc0000000	2130000	2928	0	8323	1677	0.351796227321879	0.1677	0
Sc0000000	2140000	3888	0	9487	513	0.409823969642669	0.0513	0
Sc0000000	2150000	3808	0	10000	0	0.3808	0	0
Sc0000000	2160000	3352	0	10000	0	0.3352	0	0
Sc0000000	2170000	3678	0	10000	0	0.3678	0	0
Sc0000000	2180000	3987	0	10000	0	0.3987	0	0
Sc0000000	2190000	3615	0	9031	969	0.40028789724283	0.0969	0
Sc0000000	2200000	3919	0	10000	0	0.3919	0	0
Sc0000000	2210000	3631	0	10000	0	0.3631	0	0
Sc0000000	2220000	3429	0	10000	0	0.3429	0	0
Sc0000000	2230000	3237	0	7980	2020	0.405639097744361	0.202	0
Sc0000000	2240000	3905	0	10000	0	0.3905	0	0
Sc0000000	2250000	3451	0	10000	0	0.3451	0	0
Sc0000000	2260000	4032	0	10000	0	0.4032	0	0
Sc0000000	2270000	4495	0	10000	0	0.4495	0	0
Sc0000000	2280000	4073	0	9964	36	0.408771577679647	0.0036	0
Sc0000000	2290000	3217	0	9966	34	0.322797511539233	0.0034	0
Sc0000000	2300000	3139	0	10000	0	0.3139	0	0
Sc0000000	2310000	3469	0	10000	0	0.3469	0	0
Sc0000000	2320000	3645	0	10000	0	0.3645	0	0
Sc0000000	2330000	3931	0	10000	0	0.3931	0	0
Sc0000000	2340000	4045	0	10000	0	0.4045	0	0
Sc0000000	2350000	4096	0	10000	0	0.4096	0	0
Sc0000000	2360000	3671	0	10000	0	0.3671	0	0
Sc0000000	2370000	3956	0	10000	0	0.3956	0	0
Sc0000000	2380000	4222	0	10000	0	0.4222	0	0
Sc0000000	2390000	4088	0	10000	0	0.4088	0	0
Sc0000000	2400000	3917	0	10000	0	0.3917	0	0
Sc0000000	2410000	3592	0	10000	0	0.3592	0	0
Sc0000000	2420000	3933	0	10000	0	0.3933	0	0
Sc0000000	2430000	4286	0	10000	0	0.4286	0	0
Sc0000000	2440000	3585	0	10000	0	0.3585	0	0
Sc0000000	2450000	3484	0	10000	0	0.3484	0	0
Sc0000000	2460000	3912	0	10000	0	0.3912	0	0
Sc0000000	2470000	3810	0	9736	264	0.391331142152835	0.0264	0
Sc0000000	2480000	3194	0	8409	1591	0.379831133309549	0.1591	0
Sc0000000	2490000	3651	0	10000	0	0.3651	0	0
Sc0000000	2500000	3018	0	8997	1003	0.335445148382794	0.1003	0
Sc0000000	2510000	4477	0	10000	0	0.4477	0	0
Sc0000000	2520000	3942	0	10000	0	0.3942	0	0
Sc0000000	2530000	4095	0	10000	0	0.4095	0	0
Sc0000000	2540000	3909	0	10000	0	0.3909	0	0
Sc0000000	2550000	3765	0	9999	1	0.376537653765377	0.0001	0
Sc0000000	2560000	4148	0	10000	0	0.4148	0	0
Sc0000000	2570000	3324	0	9999	1	0.332433243324332	0.0001	0
Sc0000000	2580000	3144	0	9999	1	0.314431443144314	0.0001	0
Sc0000000	2590000	3448	0	10000	0	0.3448	0	0
Sc0000000	2600000	3169	0	10000	0	0.3169	0	0
Sc0000000	2610000	3592	0	10000	0	0.3592	0	0
Sc0000000	2620000	3854	0	10000	0	0.3854	0	0
Sc0000000	2630000	4115	0	10000	0	0.4115	0	0
Sc0000000	2640000	3241	0	9804	196	0.330579355365157	0.0196	0
Sc0000000	2650000	4101	0	10000	0	0.4101	0	0
Sc0000000	2660000	4586	0	10000	0	0.4586	0	0
Sc0000000	2670000	4540	0	10000	0	0.454	0	0
Sc0000000	2680000	3145	0	9558	442	0.329043732998535	0.0442	0
Sc0000000	2690000	3085	0	9998	2	0.308561712342468	0.0002	0
Sc0000000	2700000	3563	0	10000	0	0.3563	0	0
Sc0000000	2710000	3869	0	10000	0	0.3869	0	0
Sc0000000	2720000	3384	0	10000	0	0.3384	0	0
Sc0000000	2730000	3729	0	10000	0	0.3729	0	0
Sc0000000	2740000	2220	0	7152	2848	0.310402684563758	0.2848	0
Sc0000000	2750000	3366	0	10000	0	0.3366	0	0
Sc0000000	2760000	3072	0	7898	2102	0.388959230184857	0.2102	0
Sc0000000	2770000	3943	0	10000	0	0.3943	0	0
Sc0000000	2780000	3492	0	10000	0	0.3492	0	0
Sc0000000	2790000	3522	0	10000	0	0.3522	0	0
Sc0000000	2800000	4358	0	9987	13	0.436367277460699	0.0013	0
Sc0000000	2810000	3786	0	9999	1	0.378637863786379	0.0001	0
Sc0000000	2820000	4256	0	9739	261	0.437005852756957	0.0261	0
Sc0000000	2830000	4251	0	10000	0	0.4251	0	0
Sc0000000	2840000	4094	0	10000	0	0.4094	0	0
Sc0000000	2850000	3673	0	10000	0	0.3673	0	0
Sc0000000	2860000	3457	0	10000	0	0.3457	0	0
Sc0000000	2870000	3895	0	10000	0	0.3895	0	0
Sc0000000	2880000	3552	0	10000	0	0.3552	0	0
Sc0000000	2890000	3487	0	9686	314	0.360004129671691	0.0314	0
Sc0000000	2900000	3886	0	10000	0	0.3886	0	0
Sc0000000	2910000	3708	0	10000	0	0.3708	0	0
Sc0000000	2920000	4170	0	10000	0	0.417	0	0
Sc0000000	2930000	3557	0	9459	541	0.376043979278994	0.0541	0
Sc0000000	2940000	3824	0	9999	1	0.382438243824382	0.0001	0
Sc0000000	2950000	3678	0	10000	0	0.3678	0	0
Sc0000000	2960000	3724	0	10000	0	0.3724	0	0
Sc0000000	2970000	3846	0	10000	0	0.3846	0	0
Sc0000000	2980000	4267	0	10000	0	0.4267	0	0
Sc0000000	2990000	4553	0	10000	0	0.4553	0	0
Sc0000000	3000000	4169	0	9469	531	0.440278804520013	0.0531	0
Sc0000000	3010000	4071	0	10000	0	0.4071	0	0
Sc0000000	3020000	3549	0	10000	0	0.3549	0	0
Sc0000000	3030000	3788	0	9999	1	0.378837883788379	0.0001	0
Sc0000000	3040000	3672	0	10000	0	0.3672	0	0
Sc0000000	3050000	4112	0	10000	0	0.4112	0	0
Sc0000000	3060000	3623	0	10000	0	0.3623	0	0
Sc0000000	3070000	3718	0	10000	0	0.3718	0	0
Sc0000000	3080000	3591	0	10000	0	0.3591	0	0
Sc0000000	3090000	3688	0	10000	0	0.3688	0	0
Sc0000000	3100000	2983	0	8061	1939	0.37005334325766	0.1939	0
Sc0000000	3110000	3703	0	10000	0	0.3703	0	0
Sc0000000	3120000	4071	0	10000	0	0.4071	0	0
Sc0000000	3130000	3339	0	8102	1898	0.412120464082943	0.1898	0
Sc0000000	3140000	3723	0	10000	0	0.3723	0	0
Sc0000000	3150000	3688	0	10000	0	0.3688	0	0
Sc0000000	3160000	3695	0	9998	2	0.369573914782957	0.0002	0
Sc0000000	3170000	3261	0	10000	0	0.3261	0	0
Sc0000000	3180000	3570	0	9999	1	0.357035703570357	0.0001	0
Sc0000000	3190000	4446	0	10000	0	0.4446	0	0
Sc0000000	3200000	4280	0	10000	0	0.428	0	0
Sc0000000	3210000	3949	0	10000	0	0.3949	0	0
Sc0000000	3220000	4158	0	10000	0	0.4158	0	0
Sc0000000	3230000	3950	0	10000	0	0.395	0	0
Sc0000000	3240000	3431	0	9875	125	0.347443037974684	0.0125	0
Sc0000000	3250000	3712	0	9134	866	0.406393693890957	0.0866	0
Sc0000000	3260000	3956	0	10000	0	0.3956	0	0
Sc0000000	3270000	3929	0	10000	0	0.3929	0	0
Sc0000000	3280000	3758	0	10000	0	0.3758	0	0
Sc0000000	3290000	4007	0	10000	0	0.4007	0	0
Sc0000000	3300000	3507	0	10000	0	0.3507	0	0
Sc0000000	3310000	3823	0	9999	1	0.382338233823382	0.0001	0
Sc0000000	3320000	3679	0	10000	0	0.3679	0	0
Sc0000000	3330000	4056	0	10000	0	0.4056	0	0
Sc0000000	3340000	4185	0	10000	0	0.4185	0	0
Sc0000000	3350000	4242	0	10000	0	0.4242	0	0
Sc0000000	3360000	2915	0	7339	2661	0.397193078076032	0.2661	0
Sc0000000	3370000	3567	0	10000	0	0.3567	0	0
Sc0000000	3380000	4048	0	10000	0	0.4048	0	0
Sc0000000	3390000	3973	0	9999	1	0.397339733973397	0.0001	0
Sc0000000	3400000	3929	0	8722	1278	0.450470075670718	0.1278	0
Sc0000000	3410000	2201	0	5628	4372	0.391080312722104	0.4372	0
Sc0000000	3420000	3705	0	9999	1	0.370537053705371	0.0001	0
Sc0000000	3430000	3441	0	9999	1	0.344134413441344	0.0001	0
Sc0000000	3440000	3883	0	9999	1	0.388338833883388	0.0001	0
Sc0000000	3450000	4232	0	10000	0	0.4232	0	0
Sc0000000	3460000	4094	0	10000	0	0.4094	0	0
Sc0000000	3470000	3544	0	10000	0	0.3544	0	0
Sc0000000	3480000	3362	0	10000	0	0.3362	0	0
Sc0000000	3490000	3960	0	10000	0	0.396	0	0
Sc0000000	3500000	3670	0	9999	1	0.367036703670367	0.0001	0
Sc0000000	3510000	3566	0	10000	0	0.3566	0	0
Sc0000000	3520000	3719	0	10000	0	0.3719	0	0
Sc0000000	3530000	3781	0	9999	1	0.378137813781378	0.0001	0
Sc0000000	3540000	3773	0	9833	167	0.383707922302451	0.0167	0
Sc0000000	3550000	3909	0	10000	0	0.3909	0	0
Sc0000000	3560000	4131	0	10000	0	0.4131	0	0
Sc0000000	3570000	4443	0	10000	0	0.4443	0	0
Sc0000000	3580000	3714	0	10000	0	0.3714	0	0
Sc0000000	3590000	3008	0	8883	1117	0.338624338624339	0.1117	0
Sc0000000	3600000	3375	0	10000	0	0.3375	0	0
Sc0000000	3610000	3908	0	10000	0	0.3908	0	0
Sc0000000	3620000	3695	0	10000	0	0.3695	0	0
Sc0000000	3630000	3933	0	10000	0	0.3933	0	0
Sc0000000	3640000	3738	0	10000	0	0.3738	0	0
Sc0000000	3650000	4022	0	10000	0	0.4022	0	0
Sc0000000	3660000	3759	0	10000	0	0.3759	0	0
Sc0000000	3670000	4049	0	10000	0	0.4049	0	0
Sc0000000	3680000	3465	0	10000	0	0.3465	0	0
Sc0000000	3690000	3627	0	10000	0	0.3627	0	0
Sc0000000	3700000	3867	0	10000	0	0.3867	0	0
Sc0000000	3710000	3324	0	10000	0	0.3324	0	0
Sc0000000	3720000	4113	0	10000	0	0.4113	0	0
Sc0000000	3730000	3929	0	10000	0	0.3929	0	0
Sc0000000	3740000	3798	0	10000	0	0.3798	0	0
Sc0000000	3750000	3809	0	10000	0	0.3809	0	0
Sc0000000	3760000	3415	0	9999	1	0.341534153415342	0.0001	0
Sc0000000	3770000	3499	0	10000	0	0.3499	0	0
Sc0000000	3780000	4666	0	10000	0	0.4666	0	0
Sc0000000	3790000	4307	0	10000	0	0.4307	0	0
Sc0000000	3800000	4048	0	10000	0	0.4048	0	0
Sc0000000	3810000	2909	0	7979	2021	0.364582027823035	0.2021	0
Sc0000000	3820000	3598	0	10000	0	0.3598	0	0
Sc0000000	3830000	2921	0	8146	1854	0.35858089860054	0.1854	0
Sc0000000	3840000	3271	0	9629	371	0.339702980579499	0.0371	0
Sc0000000	3850000	3449	0	9999	1	0.344934493449345	0.0001	0
Sc0000000	3860000	3779	0	10000	0	0.3779	0	0
Sc0000000	3870000	3357	0	9694	306	0.346296678357747	0.0306	0
Sc0000000	3880000	3587	0	9999	1	0.358735873587359	0.0001	0
Sc0000000	3890000	3116	0	10000	0	0.3116	0	0
Sc0000000	3900000	3661	0	10000	0	0.3661	0	0
Sc0000000	3910000	3737	0	9999	1	0.373737373737374	0.0001	0
Sc0000000	3920000	3501	0	10000	0	0.3501	0	0
Sc0000000	3930000	3166	0	10000	0	0.3166	0	0
Sc0000000	3940000	3449	0	10000	0	0.3449	0	0
Sc0000000	3950000	2133	0	6113	3887	0.348928513005071	0.3887	0
Sc0000000	3960000	2376	0	7322	2678	0.32450150232177	0.2678	0
Sc0000000	3970000	2816	0	10000	0	0.2816	0	0
Sc0000000	3980000	3295	0	10000	0	0.3295	0	0
Sc0000000	3990000	3195	0	9999	1	0.31953195319532	0.0001	0
Sc0000000	4000000	2712	0	8879	1121	0.30543980177948	0.1121	0
Sc0000000	4010000	3531	0	10000	0	0.3531	0	0
Sc0000000	4020000	2821	0	8855	1145	0.318577075098814	0.1145	0
Sc0000000	4030000	4672	0	10000	0	0.4672	0	0
Sc0000000	4040000	3081	0	9999	1	0.308130813081308	0.0001	0
Sc0000000	4050000	3073	0	8727	1273	0.352125587257935	0.1273	0
Sc0000000	4060000	3903	0	10000	0	0.3903	0	0
Sc0000000	4070000	3555	0	10000	0	0.3555	0	0
Sc0000000	4080000	3830	0	10000	0	0.383	0	0
Sc0000000	4090000	3284	0	10000	0	0.3284	0	0
Sc0000000	4100000	2824	0	9344	656	0.30222602739726	0.0656	0
Sc0000000	4110000	3623	0	10000	0	0.3623	0	0
Sc0000000	4120000	3363	0	10000	0	0.3363	0	0
Sc0000000	4130000	3357	0	10000	0	0.3357	0	0
Sc0000000	4140000	3740	0	10000	0	0.374	0	0
Sc0000000	4150000	3537	0	10000	0	0.3537	0	0
Sc0000000	4160000	3450	0	10000	0	0.345	0	0
Sc0000000	4170000	3316	0	10000	0	0.3316	0	0
Sc0000000	4180000	3535	0	9999	1	0.353535353535354	0.0001	0
Sc0000000	4190000	3458	0	9999	1	0.345834583458346	0.0001	0
Sc0000000	4200000	3564	0	10000	0	0.3564	0	0
Sc0000000	4210000	3821	0	10000	0	0.3821	0	0
Sc0000000	4220000	2950	0	9166	834	0.321841588479162	0.0834	0
Sc0000000	4230000	3053	0	8897	1103	0.343149376194223	0.1103	0
Sc0000000	4240000	3100	0	9999	1	0.31003100310031	0.0001	0
Sc0000000	4250000	3686	0	10000	0	0.3686	0	0
Sc0000000	4260000	4327	0	10000	0	0.4327	0	0
Sc0000000	4270000	3807	0	10000	0	0.3807	0	0
Sc0000000	4280000	3207	0	10000	0	0.3207	0	0
Sc0000000	4290000	3024	0	9999	1	0.302430243024302	0.0001	0
Sc0000000	4300000	3283	0	9599	401	0.342014793207626	0.0401	0
Sc0000000	4310000	3438	0	9999	1	0.343834383438344	0.0001	0
Sc0000000	4320000	3249	0	10000	0	0.3249	0	0
Sc0000000	4330000	3457	0	10000	0	0.3457	0	0
Sc0000000	4340000	3230	0	10000	0	0.323	0	0
Sc0000000	4350000	3427	0	10000	0	0.3427	0	0
Sc0000000	4360000	3327	0	10000	0	0.3327	0	0
Sc0000000	4370000	3548	0	10000	0	0.3548	0	0
Sc0000000	4380000	3491	0	10000	0	0.3491	0	0
